"Index","KO"
2007-01-03,14.823176
2007-01-04,14.829278
2007-01-05,14.72553
2007-01-08,14.820124
2007-01-09,14.832333
2007-01-10,14.853684
2007-01-11,14.871993
2007-01-12,14.814021
2007-01-16,14.798768
2007-01-17,14.829278
2007-01-18,14.752997
2007-01-19,14.72553
2007-01-22,14.655358
2007-01-23,14.682817
2007-01-24,14.68587
2007-01-25,14.62789
2007-01-26,14.594325
2007-01-29,14.557714
2007-01-30,14.588223
2007-01-31,14.609588
2007-02-01,14.676712
2007-02-02,14.719431
2007-02-05,14.615685
2007-02-06,14.661455
2007-02-07,14.655358
2007-02-08,14.603483
2007-02-09,14.572967
2007-02-12,14.621793
2007-02-13,14.710275
2007-02-14,14.609588
2007-02-15,14.600433
2007-02-16,14.606531
2007-02-20,14.579073
2007-02-21,14.514999
2007-02-22,14.432611
2007-02-23,14.420403
2007-02-26,14.560765
2007-02-27,14.154941
2007-02-28,14.243427
2007-03-01,14.194608
2007-03-02,14.002377
2007-03-05,14.12443
2007-03-06,14.319714
2007-03-07,14.264789
2007-03-08,14.386842
2007-03-09,14.514999
2007-03-12,14.630948
2007-03-13,14.565948
2007-03-14,14.559754
2007-03-15,14.572135
2007-03-16,14.612372
2007-03-19,14.649513
2007-03-20,14.739275
2007-03-21,14.937365
2007-03-22,14.934276
2007-03-23,14.872372
2007-03-26,14.903324
2007-03-27,14.863078
2007-03-28,14.829041
2007-03-29,14.890939
2007-03-30,14.856889
2007-04-02,15.017844
2007-04-03,15.163318
2007-04-04,15.30879
2007-04-05,15.327363
2007-04-09,15.361405
2007-04-10,15.500693
2007-04-11,15.364501
2007-04-12,15.37379
2007-04-13,15.438787
2007-04-16,15.559496
2007-04-17,15.961873
2007-04-18,15.989727
2007-04-19,16.017591
2007-04-20,16.122826
2007-04-23,15.986633
2007-04-24,16.005201
2007-04-25,16.014488
2007-04-26,16.11973
2007-04-27,16.113537
2007-04-30,16.15378
2007-05-01,16.289963
2007-05-02,16.31472
2007-05-03,16.376625
2007-05-04,16.469486
2007-05-07,16.59329
2007-05-08,16.426153
2007-05-09,16.438534
2007-05-10,16.243532
2007-05-11,16.308531
2007-05-14,16.28068
2007-05-15,16.23735
2007-05-16,16.324007
2007-05-17,16.156872
2007-05-18,16.289963
2007-05-21,16.067106
2007-05-22,15.934018
2007-05-23,15.887592
2007-05-24,15.859735
2007-05-25,16.060919
2007-05-29,16.150679
2007-05-30,16.419966
2007-05-31,16.401384
2007-06-01,16.342585
2007-06-04,16.302345
2007-06-05,16.194014
2007-06-06,16.094967
2007-06-07,15.903068
2007-06-08,15.992822
2007-06-11,15.980444
2007-06-12,15.82878
2007-06-13,16.111103
2007-06-14,16.095417
2007-06-15,16.180111
2007-06-18,16.236582
