"Index","VALE","BHP"
2002-07-01,1.89,8.39
2002-07-02,1.88,8.4
2002-07-03,1.92,8.54
2002-07-05,1.9,8.77
2002-07-08,1.88,8.86
2002-07-09,1.9,9.12
2002-07-10,1.88,8.68
2002-07-11,1.88,8.57
2002-07-12,1.89,8.42
2002-07-15,1.89,9.73
2002-07-16,1.91,9.46
2002-07-17,1.89,9.54
2002-07-18,1.88,9.78
2002-07-19,1.85,9.58
2002-07-22,1.83,9.52
2002-07-23,1.81,9.26
2002-07-24,1.75,9.38
2002-07-25,1.73,8.9
2002-07-26,1.68,8.85
2002-07-29,1.59,9.17
2002-07-30,1.64,9.29
2002-07-31,1.7,9.26
2002-08-01,1.75,9
2002-08-02,1.76,8.58
2002-08-05,1.68,8.05
2002-08-06,1.69,8.33
2002-08-07,1.75,8.65
2002-08-08,1.79,8.93
2002-08-09,1.76,9.1
2002-08-12,1.73,8.93
2002-08-13,1.69,8.71
2002-08-14,1.71,8.93
2002-08-15,1.71,8.93
2002-08-16,1.8,8.77
2002-08-19,1.75,9.18
2002-08-20,1.75,8.98
2002-08-21,1.76,9.36
2002-08-22,1.74,9.46
2002-08-23,1.76,9.11
2002-08-26,1.76,9.4
2002-08-27,1.76,9.43
2002-08-28,1.77,9.27
2002-08-29,1.76,9.25
2002-08-30,1.78,8.98
2002-09-03,1.71,8.93
2002-09-04,1.74,8.92
2002-09-05,1.74,8.53
2002-09-06,1.76,8.98
2002-09-09,1.8,8.93
2002-09-10,1.76,9.23
2002-09-11,1.78,9.39
2002-09-12,1.75,9.16
2002-09-13,1.75,9.32
2002-09-16,1.76,9.22
2002-09-17,1.73,9.28
2002-09-18,1.71,9.1
2002-09-19,1.67,9.03
2002-09-20,1.71,8.89
2002-09-23,1.68,8.58
2002-09-24,1.66,8.46
2002-09-25,1.68,8.98
2002-09-26,1.66,9.07
2002-09-27,1.59,9.11
2002-09-30,1.58,8.76
2002-10-01,1.64,9.32
2002-10-02,1.61,8.91
2002-10-03,1.64,9.11
2002-10-04,1.64,9.1
2002-10-07,1.6,9.06
2002-10-08,1.6,9.38
2002-10-09,1.55,8.62
